popularity,title,artist,year,decade,original_vocal,categories,social_singing,version,vibe_tag,theme_tag,theme_labels,songID
1,I Smoke Weed,HIXTAPE ft. Brothers Osborne,2020,2020s,Male,Country,,,,,,I Smoke WeedHIXTAPE ft. Brothers Osborne
1,I Still Miss Someone,Martina McBride & Dolly Parton,2005,2000s,Female,Country,,,,,,I Still Miss SomeoneMartina McBride & Dolly Parton
1,I Take My Chances,Mary Chapin Carpenter,1992,90s,Female,"Country, Country Rock, Alt-Country, Folk",,,,,,I Take My ChancesMary Chapin Carpenter
1,I Tell It Like It Used to Be,T. Graham Brown,1986,80s,Male,"Country, Alt-Country",,,,,,I Tell It Like It Used to BeT. Graham Brown
1,I Wanna Be Your Lover,Prince,1992,90s,Male,"Pop, Dance-Pop, Pop Rock, Adult Contemporary, R&B",,,,,,I Wanna Be Your LoverPrince
1,I Wanna Fall in Love,Lila McCann,1997,90s,Female,Country,,,,,,I Wanna Fall in LoveLila McCann
1,I Wanna Feel Something,Trace Adkins,2006,2000s,Male,"Country, Contemporary Country, Country Pop",,,,,,I Wanna Feel SomethingTrace Adkins
1,I Wanna Have Some Fun,Samantha Fox,1988,80s,Female,"Pop, Synth-Pop, Disco, Electronic, House",,,,,,I Wanna Have Some FunSamantha Fox
1,I Wanna Know,Joe,1998,90s,Male,"R&B, Contemporary R&B",,,,,,I Wanna KnowJoe
1,I Wanna Sex You Up,Color Me Badd,1991,90s,Male,"Pop, Soul, R&B, Hip-Hop",,,,,,I Wanna Sex You UpColor Me Badd
1,I Want to Be a Cowboy's Sweetheart,LeAnn Rimes,1993,90s,Female,"Country, Country Pop",,,,,,I Want to Be a Cowboy's SweetheartLeAnn Rimes
1,I Want to Be Evil,Eartha Kitt,1960,60s,Female,Jazz,,,,,,I Want to Be EvilEartha Kitt
1,I Want to Walk You Home,Fats Domino,1970,70s,Male,"Blues, Rock & Roll",,,,,,I Want to Walk You HomeFats Domino
1,I Want You Back,*NSYNC,1996,90s,Male,"Pop, Dance-Pop, Teen Pop, R&B",,,Boy Band,,,I Want You Back*NSYNC
1,I Will Remember You,Sarah McLachlan,1993,90s,Female,"Rock, Pop Rock, Alternative Rock",,,,,,I Will Remember YouSarah McLachlan
1,I Will Wait,Hootie & the Blowfish,1998,90s,Male,"Rock, Alternative Rock, Pop, Southern Rock",,,,,,I Will WaitHootie & the Blowfish
1,I Wish,R. Kelly,2000,2000s,Male,"Pop, Soul, R&B, Contemporary R&B, Pop Rap",,,,,,I WishR. Kelly
